Player ID,Name,Price,Season,25,50,75,100
CD_I1015175,Tess Craven,52000,-500,-2200,1600,5400,9200
CD_I1016904,Sarah Wright,56500,-1800,-3900,-100,3700,7400
CD_I1016971,Ellie Gavalas,62500,-800,-3500,300,4000,7800
CD_I1017514,Liz McGrath,76400,0,-4200,-400,3400,7200
CD_I1019811,Alice O'Loughlin,74700,-5400,-9400,-5600,-1800,2000
CD_I1021528,Amy Smith,74800,2900,-1100,2700,6500,10300
CD_I1022118,Hannah Bowey,28700,0,800,4600,8400,12100
CD_I1022153,Lucy Burke,48500,0,-1300,2500,6300,10100
CD_I1022885,Taylah Gatt,65000,700,-2300,1500,5300,9000
CD_I1024294,Lulu Pullar,59500,-1500,-3900,-100,3700,7500
CD_I1025553,Charli Granville,28700,0,800,4600,8400,12100
CD_I1029615,Erika O'Shea,75100,1900,-2100,1600,5400,9200
CD_I1029618,Vikki Wall,80200,0,-4600,-800,3000,6800
CD_I1029619,Zoe Savarirayan,40900,0,-500,3300,7100,10900
CD_I1033163,Niamh Martin,32900,3600,3900,7700,11500,15300
CD_I296143,Danielle Hardiman,39800,0,-400,3400,7200,11000
CD_I296154,Jasmine Garner,168800,-600,-14400,-10600,-6800,-3000
CD_I997700,Eliza Shannon,56200,1000,-1100,2700,6500,10200
CD_I998150,Emma Kearney,101000,-300,-7000,-3200,600,4300
CD_I1007008,Bailey Hunt,57200,-200,-2300,1400,5200,9000
CD_I1007020,Kirsten McLeod,32300,-3000,-2600,1200,5000,8800
CD_I1009782,Jaimi Tabb,28700,0,800,4600,8400,12100
CD_I1009805,Maggie Gorham,56200,1700,-300,3400,7200,11000
CD_I1009864,Millie Brown,31000,-1600,-1000,2800,6600,10300
CD_I1009875,Eleanor Brown,74100,0,-3900,-200,3600,7400
CD_I1009882,Gabrielle Newton,93800,1700,-4300,-500,3300,7000
CD_I1010082,Sarah Skinner,54700,0,-1900,1900,5600,9400
CD_I1010103,Isabella Grant,65400,-300,-3300,400,4200,8000
CD_I1010686,Elle Bennetts,61800,-1200,-3800,0,3800,7500
CD_I1010689,Naomi Ferres,72000,-2900,-6600,-2800,900,4700
CD_I1012547,Jorja Borg,31800,2300,2800,6600,10300,14100
CD_I1012555,Celine Moody,62500,-3600,-6300,-2500,1300,5000
CD_I1012694,Alice Edmonds,110200,-100,-7800,-4000,-200,3600
CD_I1012953,Brianna McFarlane,47300,1600,500,4300,8100,11800
CD_I1012964,Dominique Carbone,42600,2000,1400,5100,8900,12700
CD_I1013024,Gemma Lagioia,44300,0,-800,3000,6700,10500
CD_I1013025,Daisy Bateman,64500,2300,-600,3100,6900,10700
CD_I1013026,Elisabeth Georgostathis,96600,1100,-5200,-1400,2400,6100
CD_I1013028,Katie Lynch,84400,-1100,-6100,-2300,1400,5200
CD_I1013032,Britney Gutknecht,52800,100,-1600,2200,6000,9800
CD_I1014372,Jessica Fitzgerald,87300,2100,-3200,600,4300,8100
CD_I1014736,Elizabeth Snell,45500,-800,-1800,2000,5800,9600
CD_I1015021,Aurora Smith,67500,-200,-3400,300,4100,7900
CD_I1015091,Sarah Hartwig,63800,2300,-600,3200,7000,10800
CD_I1015137,Isabelle Pritchard,113400,-3000,-11000,-7200,-3400,400
CD_I1019828,Keely Coyne,63800,-4500,-7400,-3600,200,4000
CD_I1021853,Rylie Wilcox,77700,-900,-5200,-1400,2400,6200
CD_I1025517,Heidi Woodley,46200,2100,1100,4900,8700,12400
CD_I1028464,Dominique Carruthers,44300,2000,1100,4900,8700,12500
CD_I296125,Ellie Blackburn,149700,5300,-6500,-2700,1100,4900
CD_I997673,Richelle Cranston,44900,-2500,-3400,400,4200,8000
CD_I997686,Kirsty Lamb,116800,1200,-7100,-3400,400,4200
CD_I997728,Deanna Berry,92900,800,-5100,-1300,2500,6200
CD_I1005664,Jordan Membrey,45100,-2200,-3100,700,4500,8300
CD_I1007030,Jamie Stanton,57100,-1400,-3600,200,4000,7800
CD_I1009770,Elise Barwick,28700,-2400,-1600,2200,6000,9800
CD_I1009845,Kalinda Howarth,84700,-600,-5700,-1900,1900,5700
CD_I1009868,Maddy Brancatisano,73400,4500,700,4500,8200,12000
CD_I1009963,Lauren Bella,77000,2400,-1900,1900,5700,9500
CD_I1010257,Clara Fitzpatrick,59600,-2400,-4800,-1000,2700,6500
CD_I1010279,Elizabeth Keaney,85500,500,-4600,-800,3000,6700
CD_I1010662,Claudia Whitfort,133600,1800,-8300,-4500,-800,3000
CD_I1012581,Gabrielle Biedenweg-Webster,32100,0,400,4200,8000,11800
CD_I1012661,Lauren Ahrens,55600,2000,0,3700,7500,11300
CD_I1012709,Tara Bohanna,63500,2500,-300,3500,7300,11100
CD_I1012712,Alison Drennan,107300,2500,-4900,-1100,2600,6400
CD_I1014561,Tahlia Meyer,52300,500,-1200,2600,6400,10200
CD_I1015068,Charlie Rowbottom,158400,-2000,-14700,-10900,-7100,-3300
CD_I1016781,Ella Maurer,32000,2300,2800,6600,10300,14100
CD_I1016956,Vivien Saad,69900,-3000,-6500,-2700,1000,4800
CD_I1017304,Ashanti Bush,30500,400,1000,4800,8600,12400
