"Name","PlayerFirstName","PlayerSurname","Team","Number","Position","Price","PriceChg","TotalPriceChg","PricedAt","Breakeven","LastScore","Played","Last3Avg","Last5Avg","SeasonAvg","Games","SeasonScore","StateAvg","LastSeason","LastSeasonGames","LastSeasonHigh","2022B","LiveScore","Playing","player_id","season_num","RoundID","score_column","PlayerIcon","OppTeam","StartPrice","StartPriceChg","MatchStatus","Kick","Handball","Marks","Tackles","Hitouts","FreeFor","FreeAgainst","Goals","Behinds","TimeOnGround"
"Hannah Button","Hannah","Button","ADL",6,"Forward",60200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011092",7,9,"NONE",0,"GEE",60200,0,0,0,0,0,0,0,0,0,0,0,0
"Hannah Button","Hannah","Button","ADL",6,"Forward",60200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011092",7,10,"NONE",0,"STK",60200,0,0,0,0,0,0,0,0,0,0,0,0
"Keeley Kustermann","Keeley","Kustermann","ADL",7,"Defender",28700,0,0,16.9722057953873,16.9722057953873,0,0,0,0,0,0,0,81,0,0,0,0,0,0,"CD_I1019456",7,0,"LAST",0,"-",28700,0,0,0,0,0,0,0,0,0,0,0,0
"Keeley Kustermann","Keeley","Kustermann","ADL",7,"Defender",28700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1019456",7,1,"NONE",0,"MEL",28700,0,0,0,0,0,0,0,0,0,0,0,0
"Keeley Kustermann","Keeley","Kustermann","ADL",7,"Defender",28700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1019456",7,2,"NONE",0,"RIC",28700,0,0,0,0,0,0,0,0,0,0,0,0
"Keeley Kustermann","Keeley","Kustermann","ADL",7,"Defender",28700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1019456",7,3,"NONE",0,"NTH",28700,0,0,0,0,0,0,0,0,0,0,0,0
"Keeley Kustermann","Keeley","Kustermann","ADL",7,"Defender",28700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1019456",7,4,"NONE",0,"COL",28700,0,0,0,0,0,0,0,0,0,0,0,0
"Keeley Kustermann","Keeley","Kustermann","ADL",7,"Defender",28700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1019456",7,5,"NONE",0,"GWS",28700,0,0,0,0,0,0,0,0,0,0,0,0
"Keeley Kustermann","Keeley","Kustermann","ADL",7,"Defender",28700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1019456",7,6,"NONE",0,"PTA",28700,0,0,0,0,0,0,0,0,0,0,0,0
"Keeley Kustermann","Keeley","Kustermann","ADL",7,"Defender",28700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1019456",7,7,"NONE",0,"FRE",28700,0,0,0,0,0,0,0,0,0,0,0,0
"Keeley Kustermann","Keeley","Kustermann","ADL",7,"Defender",28700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1019456",7,8,"NONE",0,"BRL",28700,0,0,0,0,0,0,0,0,0,0,0,0
"Keeley Kustermann","Keeley","Kustermann","ADL",7,"Defender",28700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1019456",7,9,"NONE",0,"GEE",28700,0,0,0,0,0,0,0,0,0,0,0,0
"Keeley Kustermann","Keeley","Kustermann","ADL",7,"Defender",28700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1019456",7,10,"NONE",0,"STK",28700,0,0,0,0,0,0,0,0,0,0,0,0
"Najwa Allen","Najwa","Allen","ADL",8,"Defender",55100,0,0,32.5842696629214,32.5842696629214,0,0,0,0,0,0,0,0,32.5555555555556,9,47,41.8888888888889,0,0,"CD_I1014559",7,0,"LAST",0,"-",55100,0,0,0,0,0,0,0,0,0,0,0,0
"Najwa Allen","Najwa","Allen","ADL",8,"Defender",55100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014559",7,1,"NONE",0,"MEL",55100,0,0,0,0,0,0,0,0,0,0,0,0
"Najwa Allen","Najwa","Allen","ADL",8,"Defender",55100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014559",7,2,"NONE",0,"RIC",55100,0,0,0,0,0,0,0,0,0,0,0,0
"Najwa Allen","Najwa","Allen","ADL",8,"Defender",55100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014559",7,3,"NONE",0,"NTH",55100,0,0,0,0,0,0,0,0,0,0,0,0
"Najwa Allen","Najwa","Allen","ADL",8,"Defender",55100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014559",7,4,"NONE",0,"COL",55100,0,0,0,0,0,0,0,0,0,0,0,0
"Najwa Allen","Najwa","Allen","ADL",8,"Defender",55100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014559",7,5,"NONE",0,"GWS",55100,0,0,0,0,0,0,0,0,0,0,0,0
"Najwa Allen","Najwa","Allen","ADL",8,"Defender",55100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014559",7,6,"NONE",0,"PTA",55100,0,0,0,0,0,0,0,0,0,0,0,0
"Najwa Allen","Najwa","Allen","ADL",8,"Defender",55100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014559",7,7,"NONE",0,"FRE",55100,0,0,0,0,0,0,0,0,0,0,0,0
"Najwa Allen","Najwa","Allen","ADL",8,"Defender",55100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014559",7,8,"NONE",0,"BRL",55100,0,0,0,0,0,0,0,0,0,0,0,0
"Najwa Allen","Najwa","Allen","ADL",8,"Defender",55100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014559",7,9,"NONE",0,"GEE",55100,0,0,0,0,0,0,0,0,0,0,0,0
"Najwa Allen","Najwa","Allen","ADL",8,"Defender",55100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014559",7,10,"NONE",0,"STK",55100,0,0,0,0,0,0,0,0,0,0,0,0
"Deni Varnhagen","Deni","Varnhagen","ADL",9,"Midfielder",44100,0,0,26.0792430514488,26.0792430514488,0,0,0,0,0,0,0,0,0,0,0,37.25,0,0,"CD_I1005251",7,0,"LAST",0,"-",44100,0,0,0,0,0,0,0,0,0,0,0,0
"Deni Varnhagen","Deni","Varnhagen","ADL",9,"Midfielder",44100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1005251",7,1,"NONE",0,"MEL",44100,0,0,0,0,0,0,0,0,0,0,0,0
"Deni Varnhagen","Deni","Varnhagen","ADL",9,"Midfielder",44100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1005251",7,2,"NONE",0,"RIC",44100,0,0,0,0,0,0,0,0,0,0,0,0
"Deni Varnhagen","Deni","Varnhagen","ADL",9,"Midfielder",44100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1005251",7,3,"NONE",0,"NTH",44100,0,0,0,0,0,0,0,0,0,0,0,0
"Deni Varnhagen","Deni","Varnhagen","ADL",9,"Midfielder",44100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1005251",7,4,"NONE",0,"COL",44100,0,0,0,0,0,0,0,0,0,0,0,0
"Deni Varnhagen","Deni","Varnhagen","ADL",9,"Midfielder",44100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1005251",7,5,"NONE",0,"GWS",44100,0,0,0,0,0,0,0,0,0,0,0,0
"Deni Varnhagen","Deni","Varnhagen","ADL",9,"Midfielder",44100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1005251",7,6,"NONE",0,"PTA",44100,0,0,0,0,0,0,0,0,0,0,0,0
"Deni Varnhagen","Deni","Varnhagen","ADL",9,"Midfielder",44100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1005251",7,7,"NONE",0,"FRE",44100,0,0,0,0,0,0,0,0,0,0,0,0
