"member_id","round_id","teamValue","inTotal","outTotal","tradesTotal","CumTrades","remaining","cashcheck"
72725,1,1384100,1384100,0,-1384100,-1384100,4300,4300
72726,1,1387700,1387700,0,-1387700,-1387700,700,700
72727,1,1378700,1378700,0,-1378700,-1378700,9700,9700
72729,1,1386100,1386100,0,-1386100,-1386100,2300,2300
72731,1,1376600,1376600,0,-1376600,-1376600,11800,11800
72733,1,1387200,1387200,0,-1387200,-1387200,1200,1200
72734,1,1388000,1388000,0,-1388000,-1388000,400,400
72735,1,1388000,1388000,0,-1388000,-1388000,400,400
72736,1,1368700,1368700,0,-1368700,-1368700,19700,19700
72737,1,1384200,1384200,0,-1384200,-1384200,4200,4200
72738,1,1367600,1367600,0,-1367600,-1367600,20800,20800
72739,1,1385400,1385400,0,-1385400,-1385400,3000,3000
72740,1,1387700,1387700,0,-1387700,-1387700,700,700
72744,1,1386500,1386500,0,-1386500,-1386500,1900,1900
72745,1,1382700,1382700,0,-1382700,-1382700,5700,5700
72746,1,1374700,1374700,0,-1374700,-1374700,13700,13700
72750,1,1386000,1386000,0,-1386000,-1386000,2400,2400
72751,1,1358100,1358100,0,-1358100,-1358100,30300,30300
72752,1,1366300,1366300,0,-1366300,-1366300,22100,22100
72756,1,1383700,1383700,0,-1383700,-1383700,4700,4700
72757,1,1380000,1380000,0,-1380000,-1380000,8400,8400
72758,1,1319800,1319800,0,-1319800,-1319800,68600,68600
72760,1,1385500,1385500,0,-1385500,-1385500,2900,2900
72761,1,1374900,1374900,0,-1374900,-1374900,13500,13500
72762,1,1382900,1382900,0,-1382900,-1382900,5500,5500
72763,1,1348800,1348800,0,-1348800,-1348800,39600,39600
72765,1,1386300,1386300,0,-1386300,-1386300,2100,2100
72767,1,1388300,1388300,0,-1388300,-1388300,100,100
72768,1,1384000,1384000,0,-1384000,-1384000,4400,4400
72770,1,1388100,1388100,0,-1388100,-1388100,300,300
72771,1,1387400,1387400,0,-1387400,-1387400,1000,1000
72774,1,1387600,1387600,0,-1387600,-1387600,800,800
72775,1,1387700,1387700,0,-1387700,-1387700,700,700
72777,1,1356000,1356000,0,-1356000,-1356000,32400,32400
72778,1,1231700,1231700,0,-1231700,-1231700,156700,156700
72779,1,1385800,1385800,0,-1385800,-1385800,2600,2600
72782,1,1375200,1375200,0,-1375200,-1375200,13200,13200
72783,1,1352800,1352800,0,-1352800,-1352800,35600,35600
72785,1,1339300,1339300,0,-1339300,-1339300,49100,49100
72786,1,1381900,1381900,0,-1381900,-1381900,6500,6500
72787,1,1380500,1380500,0,-1380500,-1380500,7900,7900
72788,1,1386700,1386700,0,-1386700,-1386700,1700,1700
72789,1,1382900,1382900,0,-1382900,-1382900,5500,5500
72790,1,1387800,1387800,0,-1387800,-1387800,600,600
72791,1,1386200,1386200,0,-1386200,-1386200,2200,2200
72792,1,1371700,1371700,0,-1371700,-1371700,16700,16700
72793,1,1385000,1385000,0,-1385000,-1385000,3400,3400
72794,1,1385300,1385300,0,-1385300,-1385300,3100,3100
72800,1,1335300,1335300,0,-1335300,-1335300,53100,53100
72801,1,1386600,1386600,0,-1386600,-1386600,1800,1800
72802,1,1373000,1373000,0,-1373000,-1373000,15400,15400
72805,1,1321700,1321700,0,-1321700,-1321700,66700,66700
